command	status	help_flag	bytes	version
dpkg-parsechangelog	present	--help	1223	Debian dpkg-parsechangelog version 1.21.23.
dpkg-preconfigure	present	--help	216	Unknown option: version
dpkg-query	present	--help	1638	Debian dpkg-query package management program query tool version 1.21.23 (amd64).
dpkg-realpath	present	--help	339	Debian dpkg-realpath version 1.21.23.
dpkg-reconfigure	present	--help	435	Unknown option: version
dpkg-scanpackages	present	--help	632	Debian dpkg-scanpackages version 1.21.23.
dpkg-scansources	present	--help	623	Debian dpkg-scansources version 1.21.23.
dpkg-shlibdeps	present	--help	1581	Debian dpkg-shlibdeps version 1.21.23.
dpkg-source	present	--help	4152	Debian dpkg-source version 1.21.23.
dpkg-split	present	--help	1152	Debian 'dpkg-split' package split/join tool; version 1.21.23 (amd64).
dpkg-statoverride	present	--help	961	Debian dpkg-statoverride version 1.21.23 (amd64).
dpkg-trigger	present	--help	799	Debian dpkg-trigger package trigger utility version 1.21.23 (amd64).
dpkg-vendor	present	--help	448	Debian dpkg-vendor version 1.21.23.
dpl4hydra	present	--help	1087	
driftnet	absent		0	
droidlysis	absent		0	
dsniff	absent		0	
du	present	--help	3797	du (GNU coreutils) 9.1
dumpcap	present	--help	5103	
dumpe2fs	present	--help	138	dumpe2fs 1.47.0 (5-Feb-2023)
dumpzilla	absent		0	
dwp	present	--help	425	GNU dwp (GNU Binutils for Debian) 2.40
e2freefrag	present		0	version: No such file or directory while opening filesystem
e2fsck	present	--help	856	e2fsck 1.47.0 (5-Feb-2023)
e2fsprogs	absent		0	
e2image	present	--help	264	e2image 1.47.0 (5-Feb-2023)
e2label	present		0	e2label: No such file or directory while trying to open --version
e2mmpstatus	present		0	Using EXT2FS Library version 1.47.0
e2scrub	present	--help	321	e2scrub 1.47.0 (5-Feb-2023)
e2scrub_all	present	--help	261	e2scrub_all 1.47.0 (5-Feb-2023)
e2undo	present	--help	122	
e4crypt	present	--help	345	Unknown command: --version
e4defrag	present	--help	165	e4defrag 1.47.0 (5-Feb-2023)
easy_install-2.7	present	--help	2101	setuptools 41.2.0 from /usr/local/lib/python2.7/site-packages (Python 2.7)
echo	present	--help	1282	echo (GNU coreutils) 9.1
edb	absent		0	
edb-debugger	absent		0	
editcap	present	--help	7040	Editcap (Wireshark) 4.0.17 (Git v4.0.17 packaged as 4.0.17-0+deb12u3).
editor	present	--help	1995	VIM - Vi IMproved 9.0 (2022 Jun 28, compiled Feb 16 2025 05:23:41)
egrep	present	--help	4041	grep (GNU grep) 3.8
elastalert-2	absent		0	
elastic-agent	absent		0	
elastic-fleet	absent		0	
elasticsearch	absent		0	
elfedit	present	--help	1277	GNU elfedit (GNU Binutils for Debian) 2.40
emldump	present	--help	1292	emldump.py 0.0.16
emldump.py	absent		0	
enc2xs	present	--help	975	/usr/bin/enc2xs version 2.24 calling Getopt::Std::getopts (version 1.13 [paranoid]),
encguess	present	--help	994	/usr/bin/encguess version [unknown] calling Getopt::Std::getopts (version 1.13),
ent	absent		0	
enum4linux	absent		0	
enumiax	absent		0	
env	present	--help	1472	env (GNU coreutils) 9.1
epic-irc-client	absent		0	
epic5	absent		0	
esedbexport	present	--help	1141	
esedbinfo	present	--help	324	
etc	absent		0	
etherape	absent		0	
ettercap-graphical	absent		0	
evilclippy	absent		0	
evince	absent		0	
evtxexport	present	--help	1774	
evtxinfo	present	--help	611	
ewfacquire	present	--help	3947	
ewfacquirestream	present	--help	3239	
ewfexport	present	--help	3013	
ewfinfo	present	--help	1068	
ewfmount	present	--help	697	
ewfrecover	present	--help	1236	
ewfverify	present	--help	1397	
ex	present	--help	1995	VIM - Vi IMproved 9.0 (2022 Jun 28, compiled Feb 16 2025 05:23:41)
ex_pe_xor.py	absent		0	
exe2hexbat	absent		0	
exeinfope	absent		0	
exfat-extras	absent		0	
exfat-fuse	absent		0	
exif	absent		0	
exifprobe	absent		0	
exiftool	present		0	Error: File not found - version
exiv2	absent		0	
expand	present	--help	1069	expand (GNU coreutils) 9.1
expiry	present	--help	289	expiry: unrecognized option '--version'
exploitdb	absent		0	
explorersuite	absent		0	
expr	present	--help	2156	expr (GNU coreutils) 9.1
ext3grep	absent		0	
ext4magic	absent		0	
extract_msg	absent		0	
extreme_dumper	absent		0	
extundelete	absent		0	
eyewitness	absent		0	
ezhexviewer	present	--help	1593	
ezviewer	absent		0	
factor	present	--help	483	factor (GNU coreutils) 9.1
faillock	present		0	faillock: Unknown option: --version
faillog	present	--help	749	faillog: unrecognized option '--version'
fakedns	absent		0	
fakemail	absent		0	
fakenet-ng	absent		0	
fallocate	present	--help	931	fallocate from util-linux 2.38.1
false	present	--help	604	false (GNU coreutils) 9.1
fc-cache	present	--help	776	fontconfig version 2.14.1
fc-cat	present	--help	424	fontconfig version 2.14.1
fc-conflist	present	--help	205	fontconfig version 2.14.1
fc-list	present	--help	521	fontconfig version 2.14.1
fc-match	present	--help	571	fontconfig version 2.14.1
fc-pattern	present	--help	455	fontconfig version 2.14.1
fc-query	present	--help	454	fontconfig version 2.14.1
fc-scan	present	--help	462	fontconfig version 2.14.1
fc-validate	present	--help	451	fontconfig version 2.14.1
fcat	present	--help	759	The Sleuth Kit ver 4.11.1
fcrackzip	absent		0	
fdupes	absent		0	
feh	absent		0	
ferret-sidejack	absent		0	
ffind	present	--help	748	The Sleuth Kit ver 4.11.1
fgrep	present	--help	4041	grep (GNU grep) 3.8
fiddler	absent		0	
fidentify	present	--help	264	fidentify 7.1, Data Recovery Utility, July 2019
fierce	absent		0	
fiked	absent		0	
file	present	--help	3189	file-5.44
file-magic.py	absent		0	
filebeat	absent		0	
filefrag	present		0	filefrag 1.47.0 (5-Feb-2023)
fincore	present	--help	599	fincore from util-linux 2.38.1
find	present	--help	2110	find (GNU findutils) 4.9.0
findfs	present	--help	211	findfs from util-linux 2.38.1
findmnt	present	--help	4081	findmnt from util-linux 2.38.1
firefox	absent		0	
firewalk	absent		0	
firmware-mod-kit	absent		0	
fiwalk	present	--help	1711	SleuthKit Version: 4.11.1
flex	absent		0	
flock	present	--help	896	flock from util-linux 2.38.1
floss	present	--help	2337	floss 3.1.1
fls	present	--help	1353	The Sleuth Kit ver 4.11.1
fmt	present	--help	1157	fmt (GNU coreutils) 9.1
fold	present	--help	666	fold (GNU coreutils) 9.1
foremost	present	-h	830	1.5.7
forensic-artifacts	absent		0	
forensics-colorize	absent		0	
format-bytes.py	absent		0	
fping	absent		0	
fragrouter	absent		0	
free	present	--help	1074	free from procps-ng 4.0.2
freerdp3-x11	absent		0	
freqserver	absent		0	
freshclam	present	--help	3341	ClamAV 1.4.3
frida	present	--help	4398	17.16.3
frida-apk	present	--help	606	17.16.3
frida-compile	present	--help	1171	17.16.3
frida-create	present	--help	535	17.16.3
frida-discover	present	--help	2991	17.16.3
frida-itrace	present	--help	3421	
frida-join	present	--help	3379	17.16.3
frida-kill	present	--help	1525	17.16.3
frida-ls	present	--help	1537	17.16.3
frida-ls-devices	present	--help	270	17.16.3
frida-pm	present	--help	488	17.16.3
frida-ps	present	--help	1649	17.16.3
frida-pull	present	--help	1534	17.16.3
frida-push	present	--help	1533	17.16.3
frida-rm	present	--help	1642	17.16.3
frida-strace	present	--help	2134	17.16.3
frida-trace	present	--help	4999	17.16.3
fsck	present	--help	969	fsck from util-linux 2.38.1
fsck.cramfs	present	--help	521	fsck.cramfs from util-linux 2.38.1
fsck.ext2	present	--help	862	e2fsck 1.47.0 (5-Feb-2023)
fsck.ext3	present	--help	862	e2fsck 1.47.0 (5-Feb-2023)
fsck.ext4	present	--help	862	e2fsck 1.47.0 (5-Feb-2023)
fsck.minix	present	--help	472	fsck.minix from util-linux 2.38.1
fsfreeze	present	--help	275	fsfreeze from util-linux 2.38.1
fsstat	present	--help	679	The Sleuth Kit ver 4.11.1
fstab-decode	present		0	fstab-decode: --version: No such file or directory
fstrim	present	--help	881	fstrim from util-linux 2.38.1
ftester	absent		0	
ftguess	present	--help	918	ftguess 0.60.2 on Python 3.11.2 - http://decalage.info/python/oletools
funzip	present		0	
fusermount	present	--help	172	fusermount3 version: 3.14.0
fusermount3	present	--help	173	fusermount3 version: 3.14.0
g++	present	--help	4090	g++ (Debian 12.2.0-14+deb12u1) 12.2.0
